index,lat,lon
0,33.7271,-84.4136
1,33.76158,-84.38495999999999
2,33.846759999999996,-84.36211999999999
3,33.80448,-84.41348
4,33.75674,-84.34619
5,33.73856,-84.43406999999999
7,33.840309999999995,-84.37588000000001
8,33.70213,-84.39915
9,33.74913,-84.39976999999999
10,33.681779999999996,-84.41686999999999
11,33.81116,-84.47703
12,33.72846,-84.40223
13,33.70649,-84.48782
14,33.72687,-84.44151
15,33.6899,-84.50584
16,33.75119,-84.38996
17,33.75501,-84.37186
18,33.7493,-84.33282
19,33.74754,-84.40146
20,33.7623,-84.39643000000001
22,33.81015,-84.43717
23,33.71202,-84.35726
24,33.72245,-84.39631
25,33.74667,-84.39153
26,33.75328,-84.38948
27,33.84555,-84.41492
28,33.6558,-84.36612
29,33.79282,-84.39779
30,33.701209999999996,-84.49696999999999
31,33.8553,-84.35979
32,33.78934,-84.38535
33,33.74153,-84.42704
34,33.68057,-84.38234
35,33.74783,-84.38056
36,33.72392,-84.38648
37,33.7881,-84.47292
38,33.755320000000005,-84.48624000000001
39,33.656220000000005,-84.50856999999999
40,33.85459,-84.35698000000001
41,33.70485,-84.35563
42,33.71266,-84.39336999999999
43,33.71347,-84.39079
44,33.79238,-84.50048000000001
45,33.74438,-84.41721
46,33.70636,-84.40813
47,33.72678,-84.4018
48,33.75196,-84.38268000000001
49,33.7263,-84.43945
50,33.75558,-84.46807
51,33.75546,-84.33644
52,33.740829999999995,-84.39654
53,33.74255,-84.4346
54,33.75399,-84.38986
55,33.68116,-84.4059
56,33.70459,-84.53983000000001
57,33.70863,-84.44349
58,33.71128,-84.39851
59,33.76712,-84.41022
60,33.74445,-84.38372
61,33.78543,-84.47608000000001
62,33.84665,-84.39173000000001
63,33.7674,-84.32191999999999
64,33.72769,-84.40019000000001
65,33.757259999999995,-84.318
66,33.75705,-84.40713000000001
67,33.75796,-84.41253
68,33.759240000000005,-84.325
69,33.70235,-84.34959
70,33.78257,-84.41167
71,33.78132,-84.40932
72,33.810359999999996,-84.41606
73,33.76334,-84.44863000000001
74,33.80834,-84.43557
75,33.75265,-84.44341999999999
76,33.728970000000004,-84.41954
77,33.67269,-84.38678
78,33.76892,-84.4137
79,33.812670000000004,-84.37411999999999
80,33.709790000000005,-84.35849
81,33.760259999999995,-84.50046999999999
82,33.74807,-84.31187
84,33.72547,-84.42443
85,33.81498,-84.47488
86,33.73516,-84.41421
87,33.749759999999995,-84.50784
88,33.81007,-84.3713
89,33.76376,-84.31886
90,33.81029,-84.39132
91,33.74215,-84.44161
92,33.73397,-84.44724000000001
93,33.756409999999995,-84.42326
94,33.75472,-84.41755
95,33.74349,-84.50968
96,33.7395,-84.43885999999999
97,33.75083,-84.45881999999999
98,33.740520000000004,-84.34796999999999
99,33.70211,-84.48761
101,33.73085,-84.33698000000001
102,33.80958,-84.39294
103,33.75581,-84.44923
104,33.70899,-84.35840999999999
105,33.800940000000004,-84.48115
106,33.76797,-84.51321999999999
107,33.68327,-84.40661999999999
108,33.79333,-84.47416
109,33.70727,-84.40801
110,33.77151,-84.36811999999999
111,33.789559999999994,-84.44919
112,33.80041,-84.46069
113,33.740159999999996,-84.34689
114,33.741209999999995,-84.40268
115,33.74367,-84.50959
116,33.77959,-84.47394
117,33.76126,-84.50433000000001
118,33.65497,-84.38054
119,33.71927,-84.41155
120,33.79742,-84.40671
121,33.78066,-84.49401999999999
122,33.84984,-84.35795
123,33.7145,-84.4341
124,33.77411,-84.38484
125,33.7451,-84.50858000000001
126,33.77763,-84.38866999999999
127,33.7238,-84.3956
128,33.87788,-84.38165
129,33.727909999999994,-84.43231999999999
130,33.773709999999994,-84.36153
131,33.74057,-84.41738000000001
132,33.87353,-84.37789000000001
133,33.7255,-84.42316
134,33.69729,-84.40935999999999
135,33.692040000000006,-84.49085
136,33.79765,-84.41254
137,33.77192,-84.41597
138,33.727090000000004,-84.36354
139,33.78367,-84.35373
140,33.73984,-84.31149
141,33.7345,-84.38624
142,33.753809999999994,-84.47425
143,33.844409999999996,-84.36861999999999
144,33.77258,-84.38449
145,33.767559999999996,-84.48100000000001
146,33.78304,-84.42752
147,33.733959999999996,-84.40177
148,33.86703,-84.38298
149,33.75428,-84.36883
150,33.84514,-84.37031
151,33.75565,-84.34943
152,33.74973,-84.41033
153,33.656859999999995,-84.50981999999999
154,33.76548,-84.41286
155,33.80226,-84.39643000000001
156,33.77296,-84.36504000000001
157,33.774370000000005,-84.38722
158,33.6903,-84.51011
159,33.758390000000006,-84.39068
160,33.78437,-84.38221999999999
161,33.7528,-84.47086999999999
162,33.67138,-84.51315
163,33.76128,-84.37318
164,33.78269,-84.41893
165,33.763909999999996,-84.39062
166,33.72146,-84.40796
167,33.773509999999995,-84.37049
168,33.73812,-84.43276
170,33.751940000000005,-84.38964
171,33.80388,-84.41278
172,33.7921,-84.39466
176,33.68841,-84.48742
177,33.84413,-84.37409
181,33.76686,-84.34915
184,33.75298,-84.31959
185,33.75452,-84.37268
186,33.78856,-84.36992
187,33.738690000000005,-84.48812
188,33.7541,-84.33072
189,33.77575,-84.4696
190,33.76157,-84.38314
191,33.84584,-84.36933
192,33.77965,-84.3833
193,33.79057,-84.38812
194,33.65573,-84.5109
195,33.848859999999995,-84.36448
196,33.746140000000004,-84.33606999999999
197,33.74885,-84.32301
198,33.7541,-84.3896
199,33.76168,-84.39556999999999
200,33.75377,-84.47405
201,33.6581,-84.50655
202,33.80733,-84.41318000000001
203,33.77133,-84.38942
204,33.78248,-84.35414
205,33.81301,-84.3938
206,33.77025,-84.3676
207,33.77349,-84.42074000000001
208,33.7829,-84.35601
209,33.75372,-84.322
210,33.76045,-84.38556
211,33.78253,-84.35658000000001
212,33.74437,-84.41985
213,33.77315,-84.35304000000001
214,33.739020000000004,-84.49843
215,33.76763,-84.36058
216,33.83092,-84.35683
217,33.78751,-84.38263
218,33.704390000000004,-84.4634
219,33.74772,-84.35656
220,33.78246,-84.40709
221,33.771370000000005,-84.42406
222,33.75861,-84.3872
223,33.76265,-84.38648
224,33.810559999999995,-84.36161
225,33.83947,-84.37125999999999
226,33.73364,-84.50386
227,33.66758,-84.3668
228,33.787,-84.35543
229,33.81981,-84.35251
230,33.72887,-84.36223000000001
231,33.78261,-84.49348
232,33.76507,-84.4042
233,33.7499,-84.40371
235,33.83612,-84.34853000000001
236,33.7011,-84.46631
237,33.73966,-84.30934
238,33.720240000000004,-84.38654
239,33.83791,-84.37392
240,33.776140000000005,-84.3638
241,33.78134,-84.49154
242,33.82087,-84.45355
243,33.70613,-84.35768
244,33.71374,-84.41019
245,33.75823,-84.45783
247,33.732279999999996,-84.50946
248,33.73682,-84.37945
249,33.78031,-84.40906
250,33.75023,-84.51991
251,33.756820000000005,-84.41995
