,date,temperature,percentage_rain,rain_indicator
0,2009-01-01,36.48416666666666,0.0,0
1,2009-01-02,41.46416666666667,0.2916666666666667,1
2,2009-01-03,49.450416666666655,0.08333333333333333,1
3,2009-01-04,57.43458333333333,0.2916666666666667,1
4,2009-01-05,60.1625,0.20833333333333334,1
5,2009-01-06,64.26125000000002,0.5416666666666666,1
6,2009-01-07,56.059999999999995,0.375,1
7,2009-01-08,46.79,0.0,0
8,2009-01-09,42.78,0.0,0
9,2009-01-10,48.06708333333333,0.16666666666666666,1
10,2009-01-11,47.537499999999994,0.25,1
11,2009-01-12,36.73208333333333,0.0,0
12,2009-01-13,39.21125,0.0,0
13,2009-01-14,35.747916666666654,0.0,0
14,2009-01-15,35.997083333333336,0.0,0
15,2009-01-16,21.495,0.0,0
16,2009-01-17,26.399166666666662,0.0,0
17,2009-01-18,42.48791666666667,0.375,1
18,2009-01-19,38.70875,0.0,0
19,2009-01-20,28.661666666666665,0.041666666666666664,1
20,2009-01-21,26.402916666666666,0.0,0
21,2009-01-22,33.507083333333334,0.0,0
22,2009-01-23,45.202916666666674,0.0,0
23,2009-01-24,54.21541666666667,0.375,1
24,2009-01-25,41.29333333333333,0.0,0
25,2009-01-26,47.667083333333345,0.041666666666666664,1
26,2009-01-27,48.32875000000001,0.0,0
27,2009-01-28,53.89666666666667,0.2916666666666667,1
28,2009-01-29,40.10708333333333,0.0,0
29,2009-01-30,37.855833333333344,0.0,0
30,2009-01-31,37.798333333333325,0.0,0
31,2009-02-01,41.35,0.0,0
32,2009-02-02,43.09416666666667,0.16666666666666666,1
33,2009-02-03,36.50125,0.0,0
34,2009-02-04,24.992083333333337,0.0,0
35,2009-02-05,26.213333333333335,0.0,0
36,2009-02-06,37.504583333333336,0.0,0
37,2009-02-07,47.89166666666666,0.0,0
38,2009-02-08,54.084583333333335,0.0,0
39,2009-02-09,54.22333333333335,0.0,0
40,2009-02-10,57.19875,0.0,0
41,2009-02-11,59.63958333333331,0.08333333333333333,1
42,2009-02-12,56.85375,0.0,0
43,2009-02-13,49.734583333333326,0.041666666666666664,1
44,2009-02-14,54.02666666666667,0.16666666666666666,1
45,2009-02-15,48.682916666666664,0.0,0
46,2009-02-16,44.32208333333333,0.0,0
47,2009-02-17,39.90500000000001,0.0,0
48,2009-02-18,52.16125,0.5,1
49,2009-02-19,51.46583333333336,0.2916666666666667,1
50,2009-02-20,34.81458333333334,0.0,0
51,2009-02-21,38.72208333333332,0.0,0
52,2009-02-22,43.98875,0.0,0
53,2009-02-23,35.377500000000005,0.0,0
54,2009-02-24,38.84916666666667,0.0,0
55,2009-02-25,48.34583333333334,0.08333333333333333,1
56,2009-02-26,54.98083333333333,0.2916666666666667,1
57,2009-02-27,57.65291666666667,0.4166666666666667,1
58,2009-02-28,55.47125,0.9166666666666666,1
59,2009-03-01,43.67958333333334,0.8333333333333334,1
60,2009-03-02,34.19833333333333,0.4166666666666667,1
61,2009-03-03,32.07,0.0,0
62,2009-03-04,37.999583333333334,0.0,0
63,2009-03-05,44.387083333333344,0.0,0
64,2009-03-06,57.21541666666666,0.0,0
65,2009-03-07,60.23833333333332,0.0,0
66,2009-03-08,60.35541666666666,0.0,0
67,2009-03-09,67.74499999999999,0.0,0
68,2009-03-10,68.18124999999999,0.0,0
69,2009-03-11,65.62583333333332,0.0,0
70,2009-03-12,57.01916666666667,0.0,0
71,2009-03-13,52.71166666666667,0.0,0
72,2009-03-14,43.56166666666667,0.6666666666666666,1
73,2009-03-15,46.51916666666668,0.875,1
74,2009-03-16,53.69625,0.6666666666666666,1
75,2009-03-17,56.904166666666676,0.16666666666666666,1
76,2009-03-18,55.33583333333332,0.0,0
77,2009-03-19,57.354166666666664,0.0,0
78,2009-03-20,56.307500000000005,0.0,0
79,2009-03-21,50.903333333333336,0.0,0
80,2009-03-22,54.55166666666667,0.0,0
81,2009-03-23,56.70833333333332,0.0,0
82,2009-03-24,57.84916666666666,0.0,0
83,2009-03-25,60.755833333333335,0.5416666666666666,1
84,2009-03-26,57.47749999999999,0.6666666666666666,1
85,2009-03-27,60.57833333333332,0.5,1
86,2009-03-28,60.79166666666666,0.5,1
87,2009-03-29,51.67541666666667,0.08333333333333333,1
88,2009-03-30,48.87291666666666,0.0,0
89,2009-03-31,53.469583333333325,0.125,1
90,2009-04-01,60.13791666666666,0.2916666666666667,1
91,2009-04-02,61.43208333333334,0.5416666666666666,1
92,2009-04-03,57.644583333333344,0.20833333333333334,1
93,2009-04-04,55.73416666666666,0.0,0
94,2009-04-05,58.512499999999996,0.20833333333333334,1
95,2009-04-06,52.41500000000001,0.125,1
96,2009-04-07,39.80458333333333,0.125,1
97,2009-04-08,46.35833333333333,0.0,0
98,2009-04-09,60.737083333333345,0.0,0
99,2009-04-10,64.59374999999999,0.08333333333333333,1
100,2009-04-11,57.454583333333325,0.125,1
101,2009-04-12,55.85708333333333,0.0,0
102,2009-04-13,59.08666666666665,0.4583333333333333,1
103,2009-04-14,60.17958333333335,0.20833333333333334,1
104,2009-04-15,52.645,0.0,0
105,2009-04-16,54.74833333333333,0.0,0
106,2009-04-17,58.665416666666665,0.0,0
107,2009-04-18,57.22083333333333,0.0,0
108,2009-04-19,61.48000000000001,0.16666666666666666,1
109,2009-04-20,62.472916666666684,0.375,1
110,2009-04-21,58.64458333333332,0.0,0
111,2009-04-22,56.48999999999999,0.0,0
112,2009-04-23,65.46250000000002,0.08333333333333333,1
113,2009-04-24,69.06249999999999,0.20833333333333334,1
114,2009-04-25,71.65583333333335,0.0,0
