index,crime_type,report_date,Beat,Neigborhood,NPU,lat,lon
0,LARCENY-NON VEHICLE,02/28/2009,301,Adair Park,V,33.7271,-84.4136
1,LARCENY-NON VEHICLE,02/28/2009,509,Downtown,M,33.76158,-84.38495999999999
2,LARCENY-NON VEHICLE,02/28/2009,210,Lenox,B,33.846759999999996,-84.36211999999999
3,LARCENY-NON VEHICLE,02/28/2009,204,Berkeley Park,D,33.80448,-84.41348
4,LARCENY-NON VEHICLE,02/28/2009,609,Edgewood,O,33.75674,-84.34619
5,LARCENY-NON VEHICLE,02/28/2009,402,West End,T,33.73856,-84.43406999999999
