,date,year,All_Crime,temperature,percentage_rain,rain_indicator,forecasted_crime
1916,2014-04-01,2014,75,63.157916666666665,0.0,0,51.78949166666666
1917,2014-04-02,2014,81,65.38666666666666,0.0,0,53.61706666666665
1918,2014-04-03,2014,75,68.88499999999999,0.0,0,56.48569999999999
1919,2014-04-04,2014,75,68.52125,0.0,0,56.18742499999999
1920,2014-04-05,2014,68,58.64125000000001,0.0,0,48.085825
1921,2014-04-06,2014,74,54.474999999999994,0.2916666666666667,1,46.302833333333325
1922,2014-04-07,2014,107,51.94124999999999,0.8333333333333334,1,47.25849166666665
1923,2014-04-08,2014,90,54.44875,0.08333333333333333,1,45.114641666666664
1924,2014-04-09,2014,68,55.83958333333333,0.0,0,45.78845833333333
1925,2014-04-10,2014,101,56.90083333333334,0.0,0,46.658683333333336
1926,2014-04-11,2014,73,60.76583333333335,0.0,0,49.82798333333334
1927,2014-04-12,2014,76,63.859166666666674,0.0,0,52.36451666666667
1928,2014-04-13,2014,78,67.64916666666667,0.0,0,55.47231666666667
1929,2014-04-14,2014,85,66.77916666666667,0.20833333333333334,1,55.92558333333333
1930,2014-04-15,2014,101,55.134583333333325,0.5416666666666666,1,48.243691666666656
1931,2014-04-16,2014,73,44.29416666666666,0.0,0,36.32121666666666
1932,2014-04-17,2014,82,51.89708333333332,0.0,0,42.55560833333332
1933,2014-04-18,2014,94,54.752500000000005,0.375,1,46.99705
1934,2014-04-19,2014,62,54.3075,0.6666666666666666,1,48.26548333333333
1935,2014-04-20,2014,70,60.104166666666664,0.041666666666666664,1,49.51875
1936,2014-04-21,2014,88,61.25541666666666,0.0,0,50.22944166666666
1937,2014-04-22,2014,89,62.50333333333333,0.20833333333333334,1,52.41939999999999
1938,2014-04-23,2014,102,63.751666666666665,0.125,1,52.976366666666664
1939,2014-04-24,2014,70,61.55583333333333,0.0,0,50.47578333333333
1940,2014-04-25,2014,76,68.75041666666668,0.0,0,56.37534166666668
1941,2014-04-26,2014,99,66.2,0.0,0,54.284
